municipio,codigo,mesorregiao,microrregiao,quantidade_participantes
Água Branca,2500106,SERTAO PARAIBANO,SERRA DO TEIXEIRA,0
Aguiar,2500205,SERTAO PARAIBANO,PIANCO,0
Alagoa Grande,2500304,AGRESTE PARAIBANO,BREJO PARAIBANO,0
Alagoa Nova,2500403,AGRESTE PARAIBANO,BREJO PARAIBANO,0
Alagoinha,2500502,AGRESTE PARAIBANO,GUARABIRA,0
Alcantil,2500536,BORBOREMA,CARIRI ORIENTAL,0
Algodão de Jandaíra,2500577,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0
Alhandra,2500601,MATA PARAIBANA,LITORAL SUL,0
Amparo,2500734,BORBOREMA,CARIRI OCIDENTAL,0
Aparecida,2500775,SERTAO PARAIBANO,SOUSA,0
Araçagi,2500809,AGRESTE PARAIBANO,GUARABIRA,0
Arara,2500908,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0
Araruna,2501005,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,0
Areia,2501104,AGRESTE PARAIBANO,BREJO PARAIBANO,0
Areia de Baraúnas,2501153,SERTAO PARAIBANO,PATOS,0
Areial,2501203,AGRESTE PARAIBANO,ESPERANCA,0
Aroeiras,2501302,AGRESTE PARAIBANO,UMBUZEIRO,0
Assunção,2501351,BORBOREMA,CARIRI OCIDENTAL,0
Baía da Traição,2501401,MATA PARAIBANA,LITORAL NORTE,0
Bananeiras,2501500,AGRESTE PARAIBANO,BREJO PARAIBANO,0
Baraúna,2501534,BORBOREMA,SERIDO ORIENTAL PARAIBANO,0
Barra de Santa Rosa,2501575,BORBOREMA,CARIRI ORIENTAL,0
Barra de Santana,2501609,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0
Barra de São Miguel,2501708,BORBOREMA,CARIRI ORIENTAL,0
Bayeux,2501807,MATA PARAIBANA,JOAO PESSOA,7
Belém,2501906,AGRESTE PARAIBANO,GUARABIRA,1
Belém do Brejo do Cruz,2502003,SERTAO PARAIBANO,CATOLE DO ROCHA,0
Bernardino Batista,2502052,SERTAO PARAIBANO,CAJAZEIRAS,0
Boa Ventura,2502102,SERTAO PARAIBANO,ITAPORANGA,0
Boa Vista,2502151,AGRESTE PARAIBANO,CAMPINA GRANDE,0
Bom Jesus,2502201,SERTAO PARAIBANO,CAJAZEIRAS,0
Bom Sucesso,2502300,SERTAO PARAIBANO,CATOLE DO ROCHA,0
Bonito de Santa Fé,2502409,SERTAO PARAIBANO,CAJAZEIRAS,0
Boqueirão,2502508,BORBOREMA,CARIRI ORIENTAL,0
Borborema,2502706,AGRESTE PARAIBANO,BREJO PARAIBANO,0
Brejo do Cruz,2502805,SERTAO PARAIBANO,CATOLE DO ROCHA,0
Brejo dos Santos,2502904,SERTAO PARAIBANO,CATOLE DO ROCHA,0
Caaporã,2503001,MATA PARAIBANA,LITORAL SUL,0
Cabaceiras,2503100,BORBOREMA,CARIRI ORIENTAL,0
Cabedelo,2503209,MATA PARAIBANA,JOAO PESSOA,4
Cachoeira dos Índios,2503308,SERTAO PARAIBANO,CAJAZEIRAS,0
Cacimba de Areia,2503407,SERTAO PARAIBANO,PATOS,0
